frame, x, y, w, h
793, 935.5, 241.625, 45.28125, 40.34375
794, 933.5, 239.5, 36.75, 36.4375
802, 871.5, 309.25, 47.96875, 48.75
807, 859.0, 401.5, 42.25, 33.46875
808, 857.5, 438.0, 43.125, 42.0
809, 858.5, 471.0, 47.8125, 38.9375
810, 848.0, 456.5, 61.78125, 67.875
812, 837.5, 426.0, 46.59375, 47.75
813, 826.5, 405.25, 48.53125, 47.1875
814, 815.0, 390.0, 49.75, 47.1875
816, 801.0, 368.5, 49.5, 46.375
817, 796.0, 364.75, 51.3125, 46.09375
821, 786.0, 367.25, 28.5625, 41.4375
957, 744.0, 259.75, 36.78125, 33.53125
964, 796.0, 270.5, 37.03125, 36.375
965, 795.0, 268.25, 37.1875, 36.8125
966, 792.0, 268.75, 40.09375, 37.59375
967, 790.0, 267.75, 36.71875, 37.40625
