frame, x, y, w, h
141, 574.0, 470.75, 90.25, 113.625
142, 567.5, 507.5, 86.0, 113.625
143, 563.0, 530.5, 79.125, 70.75
144, 573.5, 513.0, 79.375, 79.0625
145, 593.0, 487.25, 84.125, 73.3125
146, 602.5, 475.5, 93.25, 92.6875
147, 612.5, 459.75, 83.9375, 80.8125
148, 618.5, 455.25, 86.25, 80.5625
149, 627.5, 448.75, 87.875, 73.125
150, 633.0, 449.75, 81.4375, 75.3125
151, 639.0, 454.75, 76.625, 73.5625
152, 644.5, 461.25, 84.4375, 86.1875
153, 649.0, 473.75, 77.375, 86.3125
154, 652.0, 489.75, 79.125, 89.375
155, 654.5, 506.75, 79.9375, 80.9375
156, 661.0, 535.5, 77.125, 76.875
157, 659.5, 516.0, 78.625, 78.125
158, 653.5, 489.75, 78.875, 84.1875
159, 651.0, 469.0, 76.375, 104.75
160, 644.5, 437.25, 76.75, 94.8125
161, 643.0, 422.25, 75.625, 83.6875
162, 642.0, 416.25, 76.875, 72.25
163, 643.5, 406.5, 80.5, 76.0
164, 653.5, 396.0, 69.5625, 76.0625
165, 657.5, 386.0, 73.375, 76.125
166, 659.5, 381.0, 72.9375, 68.6875
167, 668.5, 366.0, 76.125, 72.5625
168, 684.0, 356.25, 75.875, 72.0625
169, 698.0, 359.25, 76.625, 74.875
170, 707.0, 367.75, 70.4375, 69.75
171, 708.5, 376.25, 73.1875, 89.75
172, 707.0, 390.0, 77.125, 79.875
173, 706.5, 403.25, 80.9375, 77.9375
174, 710.0, 415.25, 73.875, 69.25
175, 714.0, 448.5, 75.6875, 71.0625
176, 718.5, 481.25, 73.75, 71.0
177, 723.5, 502.0, 85.625, 112.375
178, 730.5, 501.75, 65.9375, 97.125
179, 727.0, 489.75, 73.625, 71.375
180, 718.5, 445.75, 72.5625, 71.625
181, 715.0, 409.0, 70.625, 68.4375
182, 708.5, 376.0, 76.5625, 81.0625
183, 709.0, 360.0, 76.6875, 89.125
184, 708.5, 342.75, 70.0, 62.5625
185, 701.0, 325.75, 69.5, 74.8125
186, 692.0, 299.25, 70.625, 70.8125
187, 691.0, 292.0, 70.25, 69.9375
188, 689.5, 297.5, 70.5, 70.875
189, 685.5, 302.5, 79.0, 71.3125
190, 679.5, 310.25, 79.0, 69.3125
191, 668.5, 324.0, 73.5625, 69.5
192, 660.5, 338.0, 68.375, 65.5625
193, 651.0, 359.5, 68.75, 59.4375
194, 639.0, 378.25, 69.1875, 66.9375
195, 631.5, 411.5, 70.125, 68.625
196, 631.5, 443.75, 56.25, 64.5
197, 620.5, 461.25, 80.8125, 99.1875
198, 612.0, 484.0, 69.125, 74.875
199, 604.0, 522.0, 66.4375, 72.5
200, 602.0, 496.75, 68.125, 80.25
201, 599.5, 475.0, 69.0, 91.9375
202, 599.5, 461.25, 64.9375, 60.4375
203, 594.0, 435.5, 66.125, 65.6875
204, 589.0, 407.75, 67.875, 60.0625
205, 593.0, 398.0, 68.625, 64.3125
206, 604.5, 396.0, 70.9375, 66.6875
207, 611.0, 395.25, 75.8125, 66.9375
208, 615.5, 397.0, 69.8125, 70.0
209, 620.5, 399.0, 68.875, 69.875
210, 624.5, 402.25, 70.3125, 70.1875
211, 628.0, 405.5, 69.3125, 68.5
212, 634.0, 419.0, 66.0, 63.5
213, 635.5, 427.25, 68.5, 83.9375
215, 637.0, 485.75, 70.8125, 100.875
216, 639.5, 488.5, 64.0, 68.75
217, 635.5, 460.25, 68.9375, 68.0625
218, 636.5, 440.25, 67.625, 70.6875
